         1570699 function calls (1560596 primitive calls) in 1.750 seconds
   Ordered by: standard name
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 artist.py:697(set_clip_box)
      112    0.001    0.000    0.013    0.000 artist.py:709(set_clip_path)
      640    0.003    0.000    0.005    0.000 artist.py:74(__init__)
      626    0.000    0.000    0.000    0.000 artist.py:770(get_visible)
    13250    0.002    0.000    0.002    0.000 artist.py:774(get_animated)
       96    0.000    0.000    0.000    0.000 artist.py:778(get_in_layout)
      128    0.000    0.000    0.000    0.000 artist.py:789(get_clip_on)
      128    0.000    0.000    0.000    0.000 artist.py:793(get_clip_box)
      184    0.000    0.000    0.000    0.000 artist.py:797(get_clip_path)
      142    0.000    0.000    0.000    0.000 artist.py:893(set_alpha)
      611    0.000    0.000    0.001    0.000 artist.py:905(set_visible)
      812    0.003    0.000    0.016    0.000 artist.py:942(update)
      374    0.001    0.000    0.005    0.000 artist.py:946(_update_property)
      812    0.000    0.000    0.005    0.000 artist.py:974(<listcomp>)
       56    0.000    0.000    0.000    0.000 artist.py:981(get_label)
       60    0.000    0.000    0.000    0.000 artist.py:985(set_label)
       16    0.000    0.000    0.000    0.000 axis.py:1026(_set_artist_props)
       16    0.001    0.000    0.067    0.004 axis.py:1074(_update_ticks)
       16    0.000    0.000    0.025    0.002 axis.py:1147(_get_tick_bboxes)
       16    0.000    0.000    0.025    0.002 axis.py:1149(<listcomp>)
       16    0.000    0.000    0.000    0.000 axis.py:1151(<listcomp>)
        8    0.000    0.000    0.490    0.061 axis.py:1154(get_tightbbox)
       24    0.000    0.000    0.393    0.016 axis.py:1174(<genexpr>)
        8    0.000    0.000    0.000    0.000 axis.py:1180(<listcomp>)
       16    0.000    0.000    0.015    0.001 axis.py:1322(get_majorticklocs)
       16    0.000    0.000    0.015    0.001 axis.py:1326(get_minorticklocs)
       16    0.000    0.000    0.000    0.000 axis.py:1340(<listcomp>)
       31    0.000    0.000    0.005    0.000 axis.py:1374(_copy_tick_props)
